,code,name
1133,688084,晶品特装
1134,688073,毕得医药
1135,603867,新化股份
1136,688286,敏芯股份
1137,603927,中科软
1138,600460,士兰微
1139,600373,中文传媒
1140,688128,中国电研
1141,603701,德宏股份
1142,600644,乐山电力
1143,603636,南威软件
1144,600505,西昌电力
1145,600601,方正科技
1146,688169,石头科技
1147,688002,睿创微纳
1148,600833,第一医药
1149,603102,百合股份
1150,688153,唯捷创芯
1151,688617,惠泰医疗
1152,600513,联环药业
1153,600563,法拉电子
1154,688116,天奈科技
1155,600531,豫光金铅
1156,688061,灿瑞科技
1157,600668,尖峰集团
1158,600684,珠江股份
1159,600838,上海九百
1160,600444,国机通用
1161,601121,宝地矿业
1162,603075,热威股份
1163,600072,中船科技
1164,600017,日照港
1165,688003,天准科技
1166,603586,金麒麟
1167,600624,复旦复华
1168,600203,福日电子
1169,600008,首创环保
1170,601083,锦江航运
1171,603223,恒通股份
1172,600388,龙净环保
1173,603319,湘油泵
1174,688699,明微电子
1175,688678,福立旺
1176,605151,西上海
1177,600110,诺德股份
1178,600359,新农开发
1179,603637,镇海股份
1180,688619,罗普特
1181,688352,颀中科技
1182,600355,精伦电子
1183,600195,中牧股份
1184,600121,郑州煤电
1185,600792,云煤能源
1186,600495,晋西车轴
1187,688178,万德斯
1188,600107,美尔雅
1189,688519,南亚新材
1190,688235,百济神州-U
1191,688788,科思科技
1192,605116,奥锐特
1193,600681,百川能源
1194,601236,红塔证券
1195,600987,航民股份
1196,600111,北方稀土
1197,600992,贵绳股份
1198,600023,浙能电力
1199,600888,新疆众和
1200,600382,广东明珠
1201,601890,亚星锚链
1202,688399,硕世生物
1203,603301,振德医疗
1204,603856,东宏股份
1205,600510,黑牡丹
1206,603182,嘉华股份
1207,601995,XD中金公
1208,600116,三峡水利
1209,601375,中原证券
1210,603585,苏利股份
1211,688531,日联科技
1212,688223,晶科能源
1213,600173,卧龙地产
1214,603309,维力医疗
1215,600735,新华锦
1216,601727,上海电气
1217,600841,动力新科
1218,688469,芯联集成-U
1219,603112,华翔股份
1220,688058,宝兰德
1221,603578,三星新材
1222,688167,炬光科技
1223,601216,君正集团
1224,603105,芯能科技
1225,600429,三元股份
1226,688289,圣湘生物
1227,600500,中化国际
1228,603629,利通电子
1229,601928,凤凰传媒
1230,603167,渤海轮渡
1231,688338,赛科希德
1232,600219,南山铝业
1233,600196,复星医药
1234,600283,钱江水利
1235,688598,金博股份
1236,603057,紫燕食品
1237,600507,方大特钢
1238,600171,上海贝岭
1239,600059,古越龙山
1240,688677,海泰新光
1241,600123,兰花科创
1242,605006,山东玻纤
1243,603307,扬州金泉
1244,601028,玉龙股份
1245,688459,哈铁科技
1246,688707,振华新材
1247,603800,洪田股份
1248,688078,龙软科技
1249,688593,新相微
1250,600021,上海电力
1251,600550,保变电气
1252,601877,正泰电器
1253,603053,成都燃气
1254,600616,金枫酒业
1255,688018,乐鑫科技
1256,688689,银河微电
1257,688343,云天励飞-U
1258,688559,海目星
1259,600731,湖南海利
1260,600416,湘电股份
